2024-04-16 23:12:58,960 |     INFO | Example message
2024-04-16 23:12:58,960 |     INFO | Example message
2024-04-16 23:13:05,909 |     INFO | Example message
2024-04-16 23:13:05,909 |     INFO | Example message
2024-04-16 23:13:07,293 |     INFO | Example message
2024-04-16 23:13:07,293 |     INFO | Example message
2024-04-16 23:13:31,987 |     INFO | Example message
2024-04-16 23:13:52,281 |    DEBUG | Example message
2024-04-16 23:13:52,284 |     INFO | Example message
2024-04-16 23:13:52,285 |  WARNING | Example message
2024-04-16 23:13:52,285 |    ERROR | Example message
2024-04-16 23:13:52,286 | CRITICAL | Example message
2024-04-16 23:14:12,013 |    DEBUG | Example message
2024-04-16 23:14:12,013 |    DEBUG | Example message
2024-04-16 23:14:12,015 |     INFO | Example message
2024-04-16 23:14:12,015 |     INFO | Example message
2024-04-16 23:14:12,016 |  WARNING | Example message
2024-04-16 23:14:12,016 |  WARNING | Example message
2024-04-16 23:14:12,017 |    ERROR | Example message
2024-04-16 23:14:12,017 |    ERROR | Example message
2024-04-16 23:14:12,018 | CRITICAL | Example message
2024-04-16 23:14:12,018 | CRITICAL | Example message
2024-04-16 23:14:15,180 |    DEBUG | Example message
2024-04-16 23:14:15,180 |    DEBUG | Example message
2024-04-16 23:14:15,180 |    DEBUG | Example message
2024-04-16 23:14:15,182 |     INFO | Example message
2024-04-16 23:14:15,182 |     INFO | Example message
2024-04-16 23:14:15,182 |     INFO | Example message
2024-04-16 23:14:15,183 |  WARNING | Example message
2024-04-16 23:14:15,183 |  WARNING | Example message
2024-04-16 23:14:15,183 |  WARNING | Example message
2024-04-16 23:14:15,184 |    ERROR | Example message
2024-04-16 23:14:15,184 |    ERROR | Example message
2024-04-16 23:14:15,184 |    ERROR | Example message
2024-04-16 23:14:15,185 | CRITICAL | Example message
2024-04-16 23:14:15,185 | CRITICAL | Example message
2024-04-16 23:14:15,185 | CRITICAL | Example message
2024-04-16 23:14:17,476 |    DEBUG | Example message
2024-04-16 23:14:17,476 |    DEBUG | Example message
2024-04-16 23:14:17,476 |    DEBUG | Example message
2024-04-16 23:14:17,478 |     INFO | Example message
2024-04-16 23:14:17,478 |     INFO | Example message
2024-04-16 23:14:17,478 |     INFO | Example message
2024-04-16 23:14:17,479 |  WARNING | Example message
2024-04-16 23:14:17,479 |  WARNING | Example message
2024-04-16 23:14:17,479 |  WARNING | Example message
2024-04-16 23:14:17,480 |    ERROR | Example message
2024-04-16 23:14:17,480 |    ERROR | Example message
2024-04-16 23:14:17,480 |    ERROR | Example message
2024-04-16 23:14:17,481 | CRITICAL | Example message
2024-04-16 23:14:17,481 | CRITICAL | Example message
2024-04-16 23:14:17,481 | CRITICAL | Example message
2024-04-16 23:14:19,540 |    DEBUG | Example message
2024-04-16 23:14:19,540 |    DEBUG | Example message
2024-04-16 23:14:19,540 |    DEBUG | Example message
2024-04-16 23:14:19,540 |    DEBUG | Example message
2024-04-16 23:14:19,542 |     INFO | Example message
2024-04-16 23:14:19,542 |     INFO | Example message
2024-04-16 23:14:19,542 |     INFO | Example message
2024-04-16 23:14:19,542 |     INFO | Example message
2024-04-16 23:14:19,544 |  WARNING | Example message
2024-04-16 23:14:19,544 |  WARNING | Example message
2024-04-16 23:14:19,544 |  WARNING | Example message
2024-04-16 23:14:19,544 |  WARNING | Example message
2024-04-16 23:14:19,545 |    ERROR | Example message
2024-04-16 23:14:19,545 |    ERROR | Example message
2024-04-16 23:14:19,545 |    ERROR | Example message
2024-04-16 23:14:19,545 |    ERROR | Example message
2024-04-16 23:14:19,546 | CRITICAL | Example message
2024-04-16 23:14:19,546 | CRITICAL | Example message
2024-04-16 23:14:19,546 | CRITICAL | Example message
2024-04-16 23:14:19,546 | CRITICAL | Example message
2024-04-16 23:15:15,276 |    DEBUG | Example message
2024-04-16 23:15:15,277 |     INFO | Example message
2024-04-16 23:15:15,278 |  WARNING | Example message
2024-04-16 23:15:15,278 |    ERROR | Example message
2024-04-16 23:15:15,279 | CRITICAL | Example message
